Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_37_det2_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,28.24643782851211,30.248474780811122
config_37_det2_b15_s5_h4_w50,5,36.993922117345,199.162959091226,28.591629019697354,36.24239699064744
config_37_det2_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,,40.637128958626
config_37_det2_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,,43.03575548308638
config_38_det2_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,13.379146373717932,22.724133646852195
config_38_det2_b15_s5_h4_w500,2,259.641330065364,879.048720659531,32.57332113862509,39.29384493785254
config_38_det2_b15_s5_h4_w500,3,105.27554977829,661.976402363107,42.85972760062761,53.70953741973794
config_38_det2_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,55.632401523875394,66.59603028709745
config_38_det2_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,,69.314784396604
config_38_det2_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,,83.31801275834655
config_38_det2_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,,94.94401639913913
config_39_det2_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,22.925933675498342,29.930716588969396
config_39_det2_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,35.94261050619445,54.83637604326677
config_39_det2_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,57.04278162380686,68.81853856338421
config_39_det2_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,81.61822114225922,84.39963542886296
config_39_det2_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,,94.25474126005545
config_39_det2_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,,111.34605180136185
config_39_det2_b15_s5_h4_w1500,7,24.0675826659041,446.310779861523,,125.48954139688296
config_39_det2_b15_s5_h4_w1500,8,19.5984247045618,391.790936353185,,139.23417408437166
config_40_det2_b15_s5_h12_w50,1,1143.99309910078,724.976931135836,5.391613515501493,10.577393346188842
config_40_det2_b15_s5_h12_w50,2,226.084029078955,415.578696008349,11.778486603958928,19.275145913844593
config_40_det2_b15_s5_h12_w50,3,95.9537592016972,309.044693901097,18.59001697993082,25.457832782858794
config_40_det2_b15_s5_h12_w50,4,55.3066653883184,243.601640148777,,41.493301022411046
config_41_det2_b15_s5_h12_w500,1,1371.96964499226,1562.09876717853,13.379146373717932,23.147260721257286
config_41_det2_b15_s5_h12_w500,2,259.641330065364,879.048720659531,28.23509577730864,42.48960040186627
config_41_det2_b15_s5_h12_w500,3,105.27554977829,661.976402363107,61.53885967419286,67.83458741674485
config_41_det2_b15_s5_h12_w500,4,59.8243642194367,522.325202955406,72.40953839101587,84.25894438648069
config_41_det2_b15_s5_h12_w500,5,40.4077641479295,425.720697172114,,93.2016161340564
config_42_det2_b15_s5_h12_w1500,1,1482.77218730659,2195.12941567296,22.96979020763089,37.57567364665602
config_42_det2_b15_s5_h12_w1500,2,276.168535055985,1274.88781758312,42.56102971028779,58.34524353402786
config_42_det2_b15_s5_h12_w1500,3,110.489999377789,954.913490984421,80.59984971770331,84.51074067061248
config_42_det2_b15_s5_h12_w1500,4,62.265165672113,754.396736282332,91.61777256624393,112.29664347020179
config_42_det2_b15_s5_h12_w1500,5,41.3983921590561,615.089943611065,99.47471991843851,125.95039202003302
config_42_det2_b15_s5_h12_w1500,6,30.5947542861908,517.737731419071,,141.63586882991433
config_43_det2_b15_s5_h24_w50,1,1143.99309910078,724.976931135836,5.391613515501493,10.577393346188842
config_43_det2_b15_s5_h24_w50,2,226.084029078955,415.578696008349,11.778486603958928,19.275145913844593
config_43_det2_b15_s5_h24_w50,3,95.9537592016972,309.044693901097,18.59001697993082,25.457832782858794
config_43_det2_b15_s5_h24_w50,4,55.3066653883184,243.601640148777,,35.938228253490735
config_43_det2_b15_s5_h24_w50,5,36.993922117345,199.162959091226,,36.72927669340798
