Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_30_det1_b30_s20_h4_w1500,2,276.168535055985,1274.88781758312,27.32722320326907,37.848051952600755
config_30_det1_b30_s20_h4_w1500,3,110.489999377789,954.913490984421,49.2700106487422,46.4959819501194
config_30_det1_b30_s20_h4_w1500,4,62.265165672113,754.396736282332,55.98608039209477,56.7300336997462
config_30_det1_b30_s20_h4_w1500,5,41.3983921590561,615.089943611065,,64.36584057312672
config_30_det1_b30_s20_h4_w1500,6,30.5947542861908,517.737731419071,,90.26321851814717
config_30_det1_b30_s20_h4_w1500,7,24.0675826659041,446.310779861523,,92.65040319281181
config_30_det1_b30_s20_h4_w1500,8,19.5984247045618,391.790936353185,,110.64593712487428
config_30_det1_b30_s20_h4_w1500,9,14.813237392189,347.069530043393,,122.76099858930223
config_30_det1_b30_s20_h4_w1500,10,12.2749345250106,314.281592480616,,137.73637174727122
config_30_det1_b30_s20_h4_w1500,11,10.3785968167878,286.18006793008,,158.52741562542158
config_30_det1_b30_s20_h4_w1500,12,9.08425019280687,262.551262568411,,159.7744492009047
config_31_det1_b30_s20_h12_w50,1,1143.99309910078,724.976931135836,3.74849969987994,11.379522908280281
config_31_det1_b30_s20_h12_w50,2,226.084029078955,415.578696008349,11.073265236896598,16.20667802828817
config_31_det1_b30_s20_h12_w50,3,95.9537592016972,309.044693901097,16.188957616214655,17.58745805541689
config_31_det1_b30_s20_h12_w50,4,55.3066653883184,243.601640148777,18.20242525292144,19.5923625015587
config_31_det1_b30_s20_h12_w50,5,36.993922117345,199.162959091226,20.49312156912166,23.015339024304033
config_31_det1_b30_s20_h12_w50,6,27.0813487792226,167.515272305283,24.30855229215038,37.848051952600755
config_31_det1_b30_s20_h12_w50,7,21.0130117246902,144.270449058323,,39.84904480491428
config_32_det1_b30_s20_h12_w500,1,1371.96964499226,1562.09876717853,12.80292583598839,17.110837217603688
config_32_det1_b30_s20_h12_w500,2,259.641330065364,879.048720659531,19.44443892779551,28.508545628244207
config_32_det1_b30_s20_h12_w500,3,105.27554977829,661.976402363107,36.85853807874351,43.10965040202095
config_32_det1_b30_s20_h12_w500,4,59.8243642194367,522.325202955406,41.06357668835565,59.45909944728768
config_32_det1_b30_s20_h12_w500,5,40.4077641479295,425.720697172114,49.97082805282551,65.05461877228927
config_33_det1_b30_s20_h12_w1500,1,1482.77218730659,2195.12941567296,16.188957616214655,21.882344061684293
config_33_det1_b30_s20_h12_w1500,2,276.168535055985,1274.88781758312,32.180998746518554,49.56475864723754
config_33_det1_b30_s20_h12_w1500,3,110.489999377789,954.913490984421,44.482903570068906,64.06061628810471
config_33_det1_b30_s20_h12_w1500,4,62.265165672113,754.396736282332,62.56057721884003,87.96420412825829
config_33_det1_b30_s20_h12_w1500,5,41.3983921590561,615.089943611065,,92.67224515158584
config_33_det1_b30_s20_h12_w1500,6,30.5947542861908,517.737731419071,,110.14362417838123
config_33_det1_b30_s20_h12_w1500,7,24.0675826659041,446.310779861523,,121.84908611659858
config_34_det1_b30_s20_h24_w50,1,1143.99309910078,724.976931135836,3.74849969987994,11.379522908280281
config_34_det1_b30_s20_h24_w50,2,226.084029078955,415.578696008349,11.073265236896598,16.20667802828817
config_34_det1_b30_s20_h24_w50,3,95.9537592016972,309.044693901097,16.188957616214655,17.58745805541689
config_34_det1_b30_s20_h24_w50,4,55.3066653883184,243.601640148777,18.20242525292144,19.5923625015587
config_34_det1_b30_s20_h24_w50,5,36.993922117345,199.162959091226,20.49312156912166,23.015339024304033
config_34_det1_b30_s20_h24_w50,6,27.0813487792226,167.515272305283,24.30855229215038,37.848051952600755
config_34_det1_b30_s20_h24_w50,7,21.0130117246902,144.270449058323,,40.253958661697425
config_35_det1_b30_s20_h24_w500,1,1371.96964499226,1562.09876717853,12.80292583598839,17.110837217603688
config_35_det1_b30_s20_h24_w500,2,259.641330065364,879.048720659531,19.44443892779551,29.32778113532228
config_35_det1_b30_s20_h24_w500,3,105.27554977829,661.976402363107,36.85853807874351,46.23467068252535
config_35_det1_b30_s20_h24_w500,4,59.8243642194367,522.325202955406,41.06357668835565,62.807860781833796
config_35_det1_b30_s20_h24_w500,5,40.4077641479295,425.720697172114,49.97082805282551,67.67286535920097
config_36_det1_b30_s20_h24_w1500,1,1482.77218730659,2195.12941567296,16.188957616214655,21.882344061684293
config_36_det1_b30_s20_h24_w1500,2,276.168535055985,1274.88781758312,32.180998746518554,57.67680426009741
config_36_det1_b30_s20_h24_w1500,3,110.489999377789,954.913490984421,44.482903570068906,66.54605378605154
config_36_det1_b30_s20_h24_w1500,4,62.265165672113,754.396736282332,62.56057721884003,74.00119216560537
config_36_det1_b30_s20_h24_w1500,5,41.3983921590561,615.089943611065,,91.58289275356498
config_36_det1_b30_s20_h24_w1500,6,30.5947542861908,517.737731419071,,110.84150285411673
config_37_det2_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,5.131885618366801,6.735818435795311
config_37_det2_b15_s5_h4_w50,2,226.084029078955,415.578696008349,10.731553941531487,17.787811838447134
config_37_det2_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,17.426165671196863,19.57686765108033
config_37_det2_b15_s5_h4_w50,4,55.3066653883184,243.601640148777,22.80123351926382,27.49671521418641
config_37_det2_b15_s5_h4_w50,5,36.993922117345,199.162959091226,28.431826288261316,33.89220043018747
config_37_det2_b15_s5_h4_w50,6,27.0813487792226,167.515272305283,,39.73174108946145
config_37_det2_b15_s5_h4_w50,7,21.0130117246902,144.270449058323,,41.815442721559215
config_38_det2_b15_s5_h4_w500,1,1371.96964499226,1562.09876717853,12.22523005918498,22.614956334249246
config_38_det2_b15_s5_h4_w500,2,259.641330065364,879.048720659531,28.08048906028074,32.57332113862509
config_38_det2_b15_s5_h4_w500,3,105.27554977829,661.976402363107,40.583386379157666,41.57260215574676
config_38_det2_b15_s5_h4_w500,4,59.8243642194367,522.325202955406,53.59297238544974,55.35193086063032
config_38_det2_b15_s5_h4_w500,5,40.4077641479295,425.720697172114,,67.72836370384272
config_38_det2_b15_s5_h4_w500,6,30.0937750463872,358.05135977561,,80.6577754754208
config_38_det2_b15_s5_h4_w500,7,23.5282591644182,308.420236242715,,92.47138070776276
config_39_det2_b15_s5_h4_w1500,1,1482.77218730659,2195.12941567296,22.724133646852195,26.20482901666107
config_39_det2_b15_s5_h4_w1500,2,276.168535055985,1274.88781758312,34.44337744763135,41.71524002088445
config_39_det2_b15_s5_h4_w1500,3,110.489999377789,954.913490984421,55.916413540472405,56.1192210838664
config_39_det2_b15_s5_h4_w1500,4,62.265165672113,754.396736282332,78.22166364483807,72.44433207642955
config_39_det2_b15_s5_h4_w1500,5,41.3983921590561,615.089943611065,,84.5612176299133
config_39_det2_b15_s5_h4_w1500,6,30.5947542861908,517.737731419071,,107.54572147153664
