Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_54_det2_b15_s20_h24_w1500,10,12.2749345250106,314.281592480616,120.95121433867459,172.1033442872437,True,True,p95
config_54_det2_b15_s20_h24_w1500,11,10.3785968167878,286.18006793008,145.06593328552364,190.92364096270802,True,True,p95
config_54_det2_b15_s20_h24_w1500,12,9.08425019280687,262.551262568411,192.68270550311462,216.75283355786928,True,True,p95
config_54_det2_b15_s20_h24_w1500,13,8.07100869684366,242.465429921281,195.54571076860776,222.4755264279111,True,True,p95
config_54_det2_b15_s20_h24_w1500,14,7.24897508045351,225.256267238797,220.427142158129,243.25732260304108,True,True,p95
config_54_det2_b15_s20_h24_w1500,15,6.56841598047092,210.321763462317,244.23886873304994,267.15840658834566,True,True,p95
config_54_det2_b15_s20_h24_w1500,16,5.99684734319579,197.206183278909,248.05266577886238,271.0278958719117,True,True,p95
config_54_det2_b15_s20_h24_w1500,17,5.50925993039002,185.62250063012,269.8946553750185,293.9874075269365,True,True,p95
config_54_det2_b15_s20_h24_w1500,18,5.08897006822918,175.317193184827,277.06610222111254,315.88148714371135,True,True,p95
config_54_det2_b15_s20_h24_w1500,19,4.72308712345199,166.110522527026,288.7085468080223,319.0707073775211,True,True,p95
config_54_det2_b15_s20_h24_w1500,20,4.4019262322732,157.810856039111,293.29699111992267,342.4770757846958,True,True,p95
config_55_det2_b30_s5_h4_w50,1,1143.99309910078,724.976931135836,5.131885618366801,6.735818435795311,False,False,p95
config_55_det2_b30_s5_h4_w50,2,226.084029078955,415.578696008349,10.731553941531487,19.42861935393249,False,False,p95
config_55_det2_b30_s5_h4_w50,3,95.9537592016972,309.044693901097,17.426165671196863,24.596569882810893,False,False,p95
config_55_det2_b30_s5_h4_w50,4,55.3066653883184,243.601640148777,24.83870467637151,28.89690727396273,False,False,p95
config_55_det2_b30_s5_h4_w50,5,36.993922117345,199.162959091226,31.18142475898111,31.744940541761924,False,False,p95
config_55_det2_b30_s5_h4_w50,6,27.0813487792226,167.515272305283,34.888626370208385,32.78949908126076,False,False,p95
config_55_det2_b30_s5_h4_w50,7,21.0130117246902,144.270449058323,39.659756050686944,42.78932401896529,True,False,p95
config_55_det2_b30_s5_h4_w50,8,16.9791838231912,126.567457936793,40.751027594405514,46.72358713782817,True,False,p95
config_55_det2_b30_s5_h4_w50,9,14.1386261548201,112.67074195811,41.63641735308166,48.43105470196343,True,False,p95
config_55_det2_b30_s5_h4_w50,10,12.0436968582402,101.492859164877,49.354445088563196,53.891662156589675,True,False,p95
config_55_det2_b30_s5_h4_w50,11,10.4441745847862,92.3147739934436,60.09976081483187,66.00962997926894,True,True,p95
config_55_det2_b30_s5_h4_w50,12,9.18858802088564,84.6488737667435,62.8359471162805,71.54426077610977,True,True,p95
config_55_det2_b30_s5_h4_w50,13,8.17952811343337,78.1526248923616,66.13256572975223,74.26446828733106,True,True,p95
